index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.6, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 29, Somg: 14.4, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.1, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.2, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 30, Somg: 14.1, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 30, Somg: 13.9, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.7, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 29, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 13, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.6, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 14.4, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 14, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 14.1, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.5, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.5, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.6, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 32, Somg: 13.3, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 14, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 32, Somg: 13.3, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 23, Hum: 31, Somg: 13.3, Co: 2.4, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.6, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.8, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.9, Co: 2.4, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 2.8, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 3, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 3.4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.6, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.7, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.9, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 36, Somg: 3.8, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 35, Somg: 4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 34, Somg: 4.1, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 4.2, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 4.2, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.3, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.5, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.6, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.6, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.7, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 4.7, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 7.9, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 7.9, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 7.9, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 7.8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 7.8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 7.8, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 7.7, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 23, Hum: 50, Somg: 2.7, Co: 2.4, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 5.1, Co: 2.6, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 7.3, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 9.5, Co: 2.8, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 11.4, Co: 2.9, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 13.2, Co: 2.9, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 14.6, Co: 2.9, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 15.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 17, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 18, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 18.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 19.7, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 20.3, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 20.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 49, Somg: 21.4, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 21.7, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 22.2, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 22.7, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 23, Co: 3.1, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 23.3, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 23.4, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 23.4, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 23.8, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 24.1, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 24.3, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 24.3, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 48, Somg: 24.5, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 48, Somg: 24.6, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 23, Hum: 47, Somg: 24.7, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 24.8, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 24.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 24.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 25, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 24.9, Co: 3, Mode: 0, …}
index.js? [sm]:127 {Temp: 24, Hum: 47, Somg: 25.1, Co: 3, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 43, Somg: 35.9, Co: 3.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 45, Somg: 36.2, Co: 3.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 44, Somg: 36.4, Co: 3.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 43, Somg: 36.6, Co: 3.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 43, Somg: 36.6, Co: 3.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 43, Somg: 36.5, Co: 3.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 43, Somg: 36.3, Co: 3.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 42, Somg: 36.3, Co: 3.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 42, Somg: 36.3, Co: 3.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 41, Somg: 18.4, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 41, Somg: 18.3, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 41, Somg: 18.1, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 41, Somg: 18, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 28, Hum: 42, Somg: 17.8, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 43, Somg: 17.8, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 46, Somg: 54.4, Co: 11.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 46, Somg: 62.1, Co: 12.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 46, Somg: 63.3, Co: 11.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 46, Somg: 63.7, Co: 10.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 45, Somg: 63.8, Co: 9.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 44, Somg: 64.5, Co: 9.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 44, Somg: 63.2, Co: 8.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 44, Somg: 62.8, Co: 8.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 43, Somg: 63.3, Co: 7.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 43, Somg: 62.5, Co: 7.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 43, Somg: 61.7, Co: 7, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 43, Somg: 60.4, Co: 6.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.6, Co: 6.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.2, Co: 6.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.8, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 61.6, Co: 6.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.9, Co: 6, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 61.2, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.9, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 42, Somg: 61.1, Co: 6, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 42, Somg: 60.9, Co: 6, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 42, Somg: 60.3, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 60, Co: 5.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 29, Hum: 41, Somg: 60, Co: 5.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.9, Co: 5.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.5, Co: 5.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.8, Co: 5.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 60, Co: 5.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.4, Co: 5.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.3, Co: 5.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 59.2, Co: 5.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 61.5, Co: 6, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 61.6, Co: 6.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 30, Hum: 41, Somg: 62, Co: 6.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 43, Somg: 63.8, Co: 7.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 41, Somg: 80.1, Co: 9.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 81.4, Co: 9.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.3, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.4, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.1, Co: 5.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.1, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.3, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 17.2, Co: 5.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 27, Hum: 46, Somg: 18.3, Co: 5.9, Mode: 0, …}
